crater_id,center_row,center_col,x_polar_m,y_polar_m,dist_from_pole_km,elevation_m,size_pixels,area_km2
639,1281,499,-20040.0,-42520.0,47.01,-2923.9,1,0.0064
618,1262,391,-28680.0,-41000.0,50.04,-2922.9,1,0.0064
706,1342,423,-26120.0,-47400.0,54.12,-2922.4,1,0.0064
700,1336,311,-35080.0,-46920.0,58.58,-2922.2,1,0.0064
551,1217,351,-31880.0,-37400.0,49.14,-2922.1,1,0.0064
633,1274,514,-18840.0,-41960.0,46.0,-2922.1,1,0.0064
661,1303,526,-17880.0,-44280.0,47.75,-2921.9,1,0.0064
725,1366,369,-30440.0,-49320.0,57.96,-2921.9,1,0.0064
695,1331,393,-28520.0,-46520.0,54.57,-2921.1,1,0.0064
531,1202,412,-27000.0,-36200.0,45.16,-2920.6,1,0.0064
592,1246,406,-27480.0,-39720.0,48.3,-2920.5,1,0.0064
562,1225,391,-28680.0,-38040.0,47.64,-2920.2,1,0.0064
709,1343,354,-31640.0,-47480.0,57.06,-2919.9,1,0.0064
586,1239,404,-27640.0,-39160.0,47.93,-2918.7,1,0.0064
686,1325,305,-35560.0,-46040.0,58.17,-2918.7,1,0.0064
654,1295,521,-18280.0,-43640.0,47.31,-2918.2,1,0.0064
697,1332,401,-27880.0,-46600.0,54.3,-2918.1,1,0.0064
609,1257,372,-30200.0,-40600.0,50.6,-2917.5,1,0.0064
646,1289,392,-28600.0,-43160.0,51.78,-2917.5,1,0.0064
702,1338,413,-26920.0,-47080.0,54.23,-2917.4,1,0.0064
577,1236,387,-29000.0,-38920.0,48.54,-2916.9,1,0.0064
608,1257,344,-32440.0,-40600.0,51.97,-2916.8,1,0.0064
566,1228,404,-27640.0,-38280.0,47.22,-2916.6,1,0.0064
710,1343,399,-28040.0,-47480.0,55.14,-2916.6,1,0.0064
565,1227,359,-31240.0,-38200.0,49.35,-2916.5,1,0.0064
703,1339,436,-25080.0,-47160.0,53.41,-2916.5,1,0.0064
692,1329,374,-30040.0,-46360.0,55.24,-2916.4,1,0.0064
723,1362,357,-31400.0,-49000.0,58.2,-2916.3,1,0.0064
665,1308,326,-33880.0,-44680.0,56.07,-2915.6,1,0.0064
691,1328,382,-29400.0,-46280.0,54.83,-2915.1,1,0.0064
705,1341,337,-33000.0,-47320.0,57.69,-2914.6,1,0.0064
587,1240,410,-27160.0,-39240.0,47.72,-2914.3,1,0.0064
596,1249,364,-30840.0,-39960.0,50.48,-2914.2,1,0.0064
607,1255,365,-30760.0,-40440.0,50.81,-2914.2,1,0.0064
666,1308,363,-30920.0,-44680.0,54.34,-2914.0,1,0.0064
514,1187,391,-28680.0,-35000.0,45.25,-2913.6,1,0.0064
617,1261,503,-19720.0,-40920.0,45.42,-2913.5,1,0.0064
656,1298,393,-28520.0,-43880.0,52.33,-2913.5,1,0.0064
530,1202,391,-28680.0,-36200.0,46.18,-2913.3,1,0.0064
664,1306,399,-28040.0,-44520.0,52.61,-2912.8,1,0.0064
