crater_id,center_row,center_col,x_polar_m,y_polar_m,dist_from_pole_km,elevation_m,size_pixels,area_km2,VOL,ODD,EVN,HELIX
662,1304,534,-17240.0,-44360.0,47.59,-2912.6,1,0.0064,5.187241608473059e-11,1.2539870530847708e-10,4.884315608216783e-12,5.394433597732951e-12
643,1286,351,-31880.0,-42920.0,53.46,-2912.4,1,0.0064,4.9571922955404795e-11,1.0010461903853239e-10,1.002508319414286e-11,4.957287184914616e-12
588,1242,449,-24040.0,-39400.0,46.15,-2912.0,1,0.0064,9.114339144522532e-11,8.847622634533535e-11,6.571602637062135e-12,8.980066690256194e-12
572,1232,366,-30680.0,-38600.0,49.31,-2911.2,1,0.0064,4.6049143664905756e-11,1.6580696537982218e-10,1.0742041804678859e-11,6.7860131576502606e-12
708,1342,464,-22840.0,-47400.0,52.62,-2910.9,1,0.0064,9.377221221740227e-11,1.5663485786188147e-10,5.290495038584586e-12,6.761982033337555e-12
578,1236,393,-28520.0,-38920.0,48.25,-2910.6,1,0.0064,6.622953574453305e-11,2.4716137470015553e-10,7.813971691916777e-12,5.132306472171999e-12
563,1225,412,-27000.0,-38040.0,46.65,-2910.5,1,0.0064,9.739434259081747e-11,9.030685227395807e-11,1.831476637015328e-11,1.0220672398697506e-11
605,1254,358,-31320.0,-40360.0,51.09,-2910.5,1,0.0064,4.9053552886313405e-11,1.3313185276420114e-10,9.291762671781443e-12,6.7073265344608216e-12
676,1317,418,-26520.0,-45400.0,52.58,-2910.0,1,0.0064,1.1461082777275422e-10,1.0964768676346992e-10,3.1239701797636243e-11,1.8587038158601743e-11
631,1273,341,-32680.0,-41880.0,53.12,-2909.8,1,0.0064,6.133734492541619e-11,1.7629923909634468e-10,6.2525579332117776e-12,5.15272243276077e-12
593,1248,357,-31400.0,-39880.0,50.76,-2909.7,1,0.0064,5.6524958325088186e-11,1.713344743858869e-10,6.128143131833852e-12,3.102022761922174e-12
595,1249,347,-32200.0,-39960.0,51.32,-2909.2,1,0.0064,5.071043238102924e-11,1.573211005911901e-10,6.470829948257428e-12,5.8861513753394315e-12
574,1233,416,-26680.0,-38680.0,46.99,-2909.1,1,0.0064,8.291940745142057e-11,1.4505781298357334e-10,3.2048544373886045e-11,1.4238130639776523e-11
660,1302,511,-19080.0,-44200.0,48.14,-2909.1,1,0.0064,9.031561609695869e-11,1.6724255313960154e-10,9.50962312368242e-12,9.03721715517225e-12
668,1310,314,-34840.0,-44840.0,56.78,-2909.1,1,0.0064,6.291359794241558e-11,1.0737242345237874e-10,7.165247128265717e-13,5.628508076283012e-12
